2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 2: Item(title='Soumission', url='https://books.toscrape.com/catalogue/soumission_998/index.html', price=Decimal('50.10'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 519314, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 3: Item(title='Sharp Objects', url='https://books.toscrape.com/catalogue/sharp-objects_997/index.html', price=Decimal('47.82'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 519573, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 4: Item(title='Sapiens: A Brief History of Humankind', url='https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html', price=Decimal('54.23'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 519840, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 5: Item(title='The Requiem Red', url='https://books.toscrape.com/catalogue/the-requiem-red_995/index.html', price=Decimal('22.65'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 520122, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 6: Item(title='The Dirty Little Secrets of Getting Your Dream Job', url='https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html', price=Decimal('33.34'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 520418, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 7: Item(title='The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull', url='https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html', price=Decimal('17.93'), currency='GBP', in_stock=True, rating=3, image_url='https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 520714, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 8: Item(title='The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics', url='https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html', price=Decimal('22.60'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 521252, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 9: Item(title='The Black Maria', url='https://books.toscrape.com/catalogue/the-black-maria_991/index.html', price=Decimal('52.15'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 521691, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 10: Item(title='Starving Hearts (Triangular Trade Trilogy, #1)', url='https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html', price=Decimal('13.99'), currency='GBP', in_stock=True, rating=2, image_url='https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 522021, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 11: Item(title="Shakespeare's Sonnets", url='https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html', price=Decimal('20.66'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 522353, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
